feature,importance
order_week,0.96795166
avg_order_value,0.0019149936
Days for shipment (scheduled),0.0019098264
total_orders,0.0018804035
sales_per_item,0.001858496
order_quarter,0.0017874778
Order Id,0.0016724225
order_year,0.0016591733
Longitude,0.0016430073
Customer Id,0.0016136597
order_month,0.0015829845
total_sales,0.0015544634
Latitude,0.0015404363
Order Item Id,0.0015020868
Order Zipcode,0.0014970391
Customer Zipcode,0.0014781499
order_day,0.0014256953
Sales,0.0012453693
Order Item Discount Rate,0.00086106744
Benefit per order,0.00078255445
delivery_delay,0.00063872687
Order Item Discount,0.0005624445
Order Item Profit Ratio,0.00046391707
Sales per customer,0.00046008712
Order Item Product Price,0.00019757712
Order Item Quantity,0.00016490476
Category Id,0.00015139599
Department Id,0.0
Order Customer Id,0.0
Order Item Total,0.0
Order Item Cardprod Id,0.0
Product Card Id,0.0
Order Profit Per Order,0.0
Product Description,0.0
Product Price,0.0
order_weekday,0.0
Product Category Id,0.0
avg_item_price,0.0
total_items,0.0
